duration,ResponseId,state,Q39_First Click,Q39_Last Click,Q39_Page Submit,Q39_Click Count,delta_timer_First Click,delta_timer_Last Click,delta_timer_Page Submit,delta_timer_Click Count,black_timer_First Click,black_timer_Last Click,black_timer_Page Submit,black_timer_Click Count,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q58,Q59,Q24 w attn check_1,Q24 w attn check_2,Q24 w attn check_3,Q24 w attn check_4,Q24 w attn check_5,Q102_1,Q102_2,Q102_3,Q102_4,Q102_5,Q102_6,Q102_7,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q16,Q17,Q18,Q21,Q93,corn_l,corn_h,melon_l,melon_h,maters_l,maters_h,rice_l,rice_h,taters_l,taters_h,corn_low,corn_high,melon_low,melon_high,maters_low,maters_high,rice_low,rice_high,taters_low,taters_high,full_launch,gc,term,target_state,black,attention
478,R_3zAMGddhPKws5hE,New Hampshire,0,0,18.079,0,0,0,24.314,0,,,,,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Within your race but outside of your local community,6-10%,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Locally grown,Organically grown,,,Healthiness,,,Somewhat responsible,Somewhat influences,Somewhat familiar,Somewhat important,"Yes, I understand the difference",Very important,Somewhat important,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",300,Supermarket,Moderately Liberal,25,41,411,551,78,114,148,220,85,115,0.25,0.41,4.11,5.51,0.78,1.14,1.48,2.2,0.85,1.15,1,,,0,0,1
337,R_6dXYePIW4TGpptL,Texas,0,0,68.663,0,,,,,0,0,25.118,0,Agree,Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,People outside of your race in your local community,6-10%,Agree,Agree,Agree,Strongly Agree,Neither Agree or Disagree,,,,Price,Healthiness,,Widely available/ convenient,Neutral,Does not influence,Slightly familiar,Neutral,I'm not sure,Neutral,Neutral,25 - 34,Male,,,,,,,Filipino,,,,,,,Other Pacific Islander,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",50,Farmers Market,Neutral,26,43,434,599,78,115,142,212,90,125,0.26,0.43,4.34,5.99,0.78,1.15,1.42,2.12,0.9,1.25,1,,,0,1,1
467,R_1FQVPOUqoYO3a47,Texas,0,0,27.53,0,,,,,68.878,98.914,103.303,8,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,People outside of your race in your local community,6-10%,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,,,,Price,Healthiness,,Widely available/ convenient,Not very responsible,Does not influence,Slightly familiar,Not very important,"Yes, I understand the difference",Very important,Somewhat important,25 - 34,Male,White,,,,,,,,,,,,,,,"Yes, Mexican, Mexican American, Chicano","$60,000 - $69,999",200,Supermarket,Neutral,24,37,351,649,78,113,136,206,83,124,0.24,0.37,3.51,6.49,0.78,1.13,1.36,2.06,0.83,1.24,1,,,0,1,1
314,R_1Gj1oEkQU6j6M1D,Georgia,15.158,15.158,17.145,1,9.917,9.917,26.235,1,,,,,Agree,Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Agree,People outside of your race in your local community,11-20%,Disagree,Neither Agree or Disagree,Agree,Strongly Agree,Disagree,,,,Price,Healthiness,,Widely available/ convenient,Neutral,Slightly influences,Not familiar at all,Somewhat important,"Yes, I understand the difference",Somewhat important,Somewhat important,35 - 44,Female,,,,,,Chinese,,,,,Other Asian,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",400,Supermarket,Neutral,29,43,401,606,81,118,151,194,74,123,0.29,0.43,4.01,6.06,0.81,1.18,1.51,1.94,0.74,1.23,1,,,0,0,1
328,R_3OYJFmFfEpIwAna,Texas,0.917,0.917,11.351,1,,,,,1.273,54.868,58.461,2,Strongly Agree,Neither Agree or Disagree,Disagree,Neither Agree or Disagree,Disagree,Strongly Agree,People outside of your race in your local community,0-5%,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,,Organically grown,,Price,,Sold by a socially responsible compmany,,Somewhat responsible,Does not influence,Somewhat familiar,Somewhat important,I'm not sure,Very important,Somewhat important,25 - 34,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",140,Supermarket,Neutral,26,39,393,636,82,120,148,214,78,114,0.26,0.39,3.93,6.36,0.82,1.2,1.48,2.14,0.78,1.14,1,,,0,1,1
289,R_7o862I0E411Bdzr,California,0,0,11.085,0,,,,,4.087,18.44,19.046,5,Strongly Agree,Strongly Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Strongly Agree,People outside of your race in your local community,0-5%,Agree,Strongly Agree,Neither Agree or Disagree,Strongly Agree,Disagree,Locally grown,Organically grown,Supports the local economy,,,,,Neutral,Does not influence,Very familar,Very important,"Yes, I understand the difference",Very important,Neutral,35 - 44,Male,White,,,,,,,Japanese,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$80,000 - $89,999",40,Supermarket,Extremely Liberal,30,43,401,570,70,129,155,217,73,126,0.3,0.43,4.01,5.7,0.7,1.29,1.55,2.17,0.73,1.26,1,,,0,1,1
711,R_50VNlOuGl9WaRFq,Georgia,0,0,9.23,0,,,,,0,0,21.159,0,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,,People outside of your race in your local community,6-10%,Agree,Agree,Agree,Strongly Agree,Agree,Locally grown,Organically grown,,,Healthiness,,,Somewhat responsible,Somewhat influences,Very familar,Very important,"Yes, I understand the difference",Very important,Somewhat important,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",150,Farmers Market,Moderately Liberal,26,40,429,644,73,127,134,194,88,110,0.26,0.4,4.29,6.44,0.73,1.27,1.34,1.94,0.88,1.1,1,,,0,1,1
405,R_7lCDKs2UcVRQXBv,Arkansas,1.948,1.948,5.374,1,,,,,4.256,40.812,44.906,15,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,People outside of your race in your local community,21-30%,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Locally grown,,Supports the local economy,,Healthiness,,,Very responsible,Greatly influences,Very familar,Very important,"Yes, I understand the difference",Very important,Very important,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",150,Supermarket,Moderately Liberal,29,43,394,607,73,117,124,212,82,122,0.29,0.43,3.94,6.07,0.73,1.17,1.24,2.12,0.82,1.22,1,,,1,1,1
625,R_5P2N3N4lpPPxUlj,Pennsylvania,0,0,22.336,0,8.504,15.117,30.101,5,,,,,Agree,Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Agree,Within your race but outside of your local community,0-5%,Agree,Agree,Neither Agree or Disagree,Strongly Agree,Neither Agree or Disagree,,,,Price,Healthiness,,Widely available/ convenient,Neutral,Does not influence,Not familiar at all,Neutral,"Yes, I understand the difference",Neutral,Neutral,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$80,000 - $89,999",250,Supermarket,Moderately Conservative,28,39,444,628,77,119,139,209,76,114,0.28,0.39,4.44,6.28,0.77,1.19,1.39,2.09,0.76,1.14,1,,,0,0,1
365,R_7lbpy7NRAdD6t3v,Nevada,7.111,7.111,17.133,1,7.379,27.252,28.232,5,,,,,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,People outside of your race in your local community,6-10%,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree or Disagree,,Organically grown,,,Healthiness,,Widely available/ convenient,Neutral,Slightly influences,Slightly familiar,Neutral,"Yes, but I'm unsure of the difference",Somewhat important,Neutral,45 - 54,Female,,,,,,Chinese,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",200,Specialty Food Store,Moderately Liberal,30,39,369,555,79,117,148,216,81,129,0.3,0.39,3.69,5.55,0.79,1.17,1.48,2.16,0.81,1.29,1,,,0,0,1
484,R_5LtIQ3mVlNuLLS9,North Carolina,0,0,47.646,0,3.431,74.579,75.016,6,,,,,Agree,Agree,Disagree,Disagree,Disagree,Agree,People outside of your race in your local community,6-10%,Agree,Disagree,Disagree,Strongly Agree,Disagree,,,,Price,Healthiness,,Widely available/ convenient,Not very responsible,Does not influence,Not familiar at all,Neutral,I'm not sure,Not very important,Not important at all,25 - 34,Female,,Black or African American,,,,,,,,,,,,,,"Yes, Puerto Rican","$40,000 - $49,999",80,Supermarket,Extremely Liberal,30,42,436,648,71,127,127,225,77,129,0.3,0.42,4.36,6.48,0.71,1.27,1.27,2.25,0.77,1.29,1,,,0,0,1
654,R_1nUIqtrffx5bNoZ,Michigan,0,0,27.829,0,0,0,46.187,0,,,,,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,People outside of your race in your local community,31-40%,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Locally grown,,Supports the local economy,Price,,,,Somewhat responsible,Does not influence,Somewhat familiar,Very important,"Yes, I understand the difference",Very important,Very important,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$80,000 - $89,999",500,Supermarket,Slightly Liberal,27,38,448,590,86,111,128,219,83,123,0.27,0.38,4.48,5.9,0.86,1.11,1.28,2.19,0.83,1.23,1,,,0,0,1
399,R_1Rz3ObpaK7zGSyI,Ohio,0,0,4.471,0,0,0,50.085,0,,,,,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Within your race but outside of your local community,0-5%,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Locally grown,,Supports the local economy,Price,,,,Neutral,Does not influence,Not familiar at all,Not important at all,"Yes, I understand the difference",Very important,Neutral,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",300,Supermarket,Extremely Conservative,25,38,431,639,71,112,140,208,70,117,0.25,0.38,4.31,6.39,0.71,1.12,1.4,2.08,0.7,1.17,1,,,0,0,1
241,R_5eoIRU7S1zcnc65,Alaska,0,0,5.897,0,12.896,12.896,13.573,1,,,,,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,People outside of your race in your local community,6-10%,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,Supports the local economy,Price,Healthiness,,,Somewhat responsible,Greatly influences,Slightly familiar,Somewhat important,"Yes, I understand the difference",Very important,Somewhat important,18 - 24,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$80,000 - $89,999",50,Supermarket,Moderately Liberal,28,41,429,578,80,126,156,203,76,124,0.28,0.41,4.29,5.78,0.8,1.26,1.56,2.03,0.76,1.24,1,,,0,0,1
702,R_5jVT9v8F9V75jsL,Michigan,0,0,27.041,0,,,,,0,0,110.88,0,Strongly Agree,Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Agree,Within your race but outside of your local community,11-20%,Agree,Agree,Agree,Strongly Agree,Agree,,,Supports the local economy,Price,,Sold by a socially responsible compmany,,Somewhat responsible,Does not influence,Not familiar at all,Very important,"Yes, I understand the difference",Very important,Very important,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",75,Direct from a Producer,Neutral,30,43,375,636,88,117,134,203,79,111,0.3,0.43,3.75,6.36,0.88,1.17,1.34,2.03,0.79,1.11,1,,,0,1,1
219,R_542IelBw9q5OEOH,Texas,2.202,2.202,4.98,1,4.736,10.786,16.848,3,,,,,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,People outside of your race in your local community,21-30%,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Organically grown,,Price,Healthiness,,,Somewhat responsible,Slightly influences,Not familiar at all,Somewhat important,"Yes, but I'm unsure of the difference",Somewhat important,Not very important,45 - 54,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",100,Supermarket,Moderately Conservative,26,37,376,595,70,128,136,212,77,119,0.26,0.37,3.76,5.95,0.7,1.28,1.36,2.12,0.77,1.19,1,,,0,0,1
592,R_1rPJtWSHfDc44uh,California,0,0,12.079,0,0,0,15.544,0,,,,,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,People outside of your race in your local community,41-50%,Agree,Strongly Agree,Agree,Strongly Agree,Agree,,Organically grown,,,Healthiness,Sold by a socially responsible compmany,,Very responsible,Greatly influences,Very familar,Very important,"Yes, but I'm unsure of the difference",Very important,Very important,25 - 34,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",150,Farmers Market,Extremely Conservative,25,39,441,599,80,129,125,193,74,113,0.25,0.39,4.41,5.99,0.8,1.29,1.25,1.93,0.74,1.13,1,,,0,0,1
599,R_3D8GjDJ7aYC2SQt,Michigan,0,0,33.003,0,,,,,0,0,84.979,0,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,People outside of your race in your local community,11-20%,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neither Agree or Disagree,Locally grown,,,Price,,,Widely available/ convenient,Somewhat responsible,Slightly influences,Not familiar at all,Somewhat important,"No, I believe they are the same",Somewhat important,Very important,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",70,Supermarket,Extremely Liberal,23,36,425,624,77,128,131,209,90,117,0.23,0.36,4.25,6.24,0.77,1.28,1.31,2.09,0.9,1.17,1,,,0,1,1
353,R_74GgDFsiagq1hA7,Washington,0,0,12.879,0,,,,,21.05,21.631,35.747,2,Neither Agree or Disagree,Neither Agree or Disagree,Disagree,Neither Agree or Disagree,Agree,Agree,People outside of your race in your local community,0-5%,Agree,Neither Agree or Disagree,Agree,Strongly Agree,Agree,,Organically grown,,Price,,,Widely available/ convenient,Neutral,Slightly influences,Not familiar at all,Somewhat important,"Yes, I understand the difference",Very important,Somewhat important,55 - 64,Female,White,,,,,,,,,,,,,,,"Yes, another Hispanic, Latino, or Spanish Origin","$100,000 - $149,999",100,Supermarket,Moderately Liberal,23,37,420,573,71,127,135,216,89,125,0.23,0.37,4.2,5.73,0.71,1.27,1.35,2.16,0.89,1.25,1,,,0,1,1
256,R_6DCZurYgqDUYaK5,Wisconsin,0,0,5.801,0,0,0,11.285,0,,,,,Neither Agree or Disagree,Disagree,Disagree,Agree,Agree,Agree,People outside of your race in your local community,6-10%,Agree,Neither Agree or Disagree,Neither Agree or Disagree,Strongly Agree,Disagree,,Organically grown,,Price,Healthiness,,,Somewhat responsible,Somewhat influences,Slightly familiar,Neutral,"Yes, I understand the difference",Very important,Neutral,18 - 24,Female,,,,,,,,,,,,,,,some other race,"Yes, Mexican, Mexican American, Chicano","$20,000 - $29,999",80,Convenience/Corner Store,Extremely Liberal,30,36,449,565,80,113,140,215,89,110,0.3,0.36,4.49,5.65,0.8,1.13,1.4,2.15,0.89,1.1,1,,,0,0,1
266,R_6VrUdPl1rH5FFXQ,Ohio,0,0,2.845,0,,,,,0.816,21.842,22.485,6,Neither Agree or Disagree,Strongly Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Agree,Within your race but outside of your local community,6-10%,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,,Organically grown,,Price,Healthiness,,,Somewhat responsible,Does not influence,Slightly familiar,Somewhat important,"Yes, I understand the difference",Somewhat important,Very important,18 - 24,Female,,,,,,,,,,,Other Asian,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",50,Supermarket,Slightly Liberal,25,40,431,575,85,124,151,211,71,112,0.25,0.4,4.31,5.75,0.85,1.24,1.51,2.11,0.71,1.12,1,,,0,1,1
166,R_5Em4KEJXRFlQLji,Delaware,0,0,3.567,0,,,,,2.213,17.505,19.927,2,Strongly Agree,Strongly Agree,Disagree,Neither Agree or Disagree,Agree,Agree,People outside of your race in your local community,0-5%,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,Supports the local economy,,Healthiness,Sold by a socially responsible compmany,,Neutral,Somewhat influences,Slightly familiar,Neutral,"Yes, I understand the difference",Somewhat important,Somewhat important,45 - 54,Male,,,,,,Chinese,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",200,Farmers Market,Extremely Liberal,23,37,438,579,89,115,130,212,77,119,0.23,0.37,4.38,5.79,0.89,1.15,1.3,2.12,0.77,1.19,1,,,0,1,1
466,R_1Kx0C35CvzrEXDT,Florida,0,0,11.137,0,,,,,0,0,53.435,0,Strongly Agree,Strongly Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Strongly Agree,People outside of your race in your local community,6-10%,Neither Agree or Disagree,Strongly Agree,Agree,Strongly Agree,Neither Agree or Disagree,,,,Price,Healthiness,,Widely available/ convenient,Somewhat responsible,Slightly influences,Very familar,Somewhat important,"Yes, I understand the difference",Somewhat important,Somewhat important,35 - 44,Female,White,,American Indian or Alaska Native,,,,,,,,,,,,,"Yes, another Hispanic, Latino, or Spanish Origin","$30,000 - $39,999",200,Supermarket,Extremely Liberal,28,39,365,605,71,124,148,214,88,114,0.28,0.39,3.65,6.05,0.71,1.24,1.48,2.14,0.88,1.14,1,,,0,1,1
376,R_3JRas6xIiNUI3iG,California,5.134,7.25,11.684,5,12.951,14.934,19.184,5,,,,,Agree,Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Strongly Agree,Within your race but outside of your local community,0-5%,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,,Price,Healthiness,,Widely available/ convenient,Somewhat responsible,Slightly influences,Slightly familiar,Somewhat important,I'm not sure,Very important,Somewhat important,35 - 44,Male,,,,,,,Filipino,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",150,Supermarket,Extremely Liberal,24,42,385,568,77,117,151,210,76,122,0.24,0.42,3.85,5.68,0.77,1.17,1.51,2.1,0.76,1.22,1,,,0,0,1
697,R_1mlz47d3nOEq0ja,Florida,0,0,17.3,0,,,,,44.044,53.097,141.562,4,Neither Agree or Disagree,Neither Agree or Disagree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Agree,People outside of your race in your local community,0-5%,Agree,Disagree,Agree,Strongly Agree,Neither Agree or Disagree,,,,Price,Healthiness,,Widely available/ convenient,Not very responsible,Does not influence,Not familiar at all,Not important at all,"Yes, I understand the difference",Neutral,Not important at all,45 - 54,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",150,Supermarket,Neutral,26,39,378,590,81,127,141,217,74,118,0.26,0.39,3.78,5.9,0.81,1.27,1.41,2.17,0.74,1.18,1,,,0,1,1
700,R_5pRdvhBQILEeVHN,South Dakota,13.021,13.021,159.784,1,,,,,9.423,99.828,101.266,4,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Within your race but outside of your local community,0-5%,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,Organically grown,Supports the local economy,,Healthiness,,,Very responsible,Greatly influences,Somewhat familiar,Very important,"Yes, I understand the difference",Very important,Very important,35 - 44,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",200,Farmers Market,Extremely Conservative,30,36,389,649,86,126,148,196,85,113,0.3,0.36,3.89,6.49,0.86,1.26,1.48,1.96,0.85,1.13,1,,,0,1,1
401,R_6vc9vNvnui4C0Li,Georgia,0,0,20.146,0,,,,,25.622,25.622,27.858,1,Strongly Agree,Strongly Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Within your race but outside of your local community,6-10%,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Locally grown,,Supports the local economy,,Healthiness,,,Somewhat responsible,Somewhat influences,Very familar,Somewhat important,"Yes, I understand the difference",Somewhat important,Somewhat important,45 - 54,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",100,Farmers Market,Slightly Liberal,27,37,409,577,74,120,126,207,78,117,0.27,0.37,4.09,5.77,0.74,1.2,1.26,2.07,0.78,1.17,1,,,0,1,1
778,R_5S8et9M2nO8KN8x,Tennessee,0,0,20.12,0,,,,,0,0,99.849,0,Strongly Agree,Strongly Agree,Disagree,Agree,Neither Agree or Disagree,Strongly Agree,People outside of your race in your local community,11-20%,Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree or Disagree,Locally grown,,,Price,,,Widely available/ convenient,Somewhat responsible,Somewhat influences,Somewhat familiar,Somewhat important,"Yes, I understand the difference",Somewhat important,Neutral,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",150,Supermarket,Extremely Liberal,24,38,447,587,83,115,143,219,73,119,0.24,0.38,4.47,5.87,0.83,1.15,1.43,2.19,0.73,1.19,1,,,1,1,1
374,R_7otZuQyXmsBiF0m,Montana,0,0,20.05,0,0,0,28.938,0,,,,,Agree,Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Agree,People outside of your race in your local community,6-10%,Strongly Agree,Agree,Agree,Strongly Agree,Neither Agree or Disagree,,,,Price,Healthiness,,Widely available/ convenient,Somewhat responsible,Slightly influences,Not familiar at all,Neutral,"Yes, I understand the difference",Somewhat important,Somewhat important,35 - 44,Female,,,,,,,,Japanese,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",250,Supermarket,Moderately Liberal,24,42,367,591,86,114,154,217,81,120,0.24,0.42,3.67,5.91,0.86,1.14,1.54,2.17,0.81,1.2,1,,,0,0,1
494,R_7HSxj3AlicKKWUT,Florida,0,0,16.355,0,0,0,30.538,0,,,,,Strongly Agree,Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Agree,Within your race but outside of your local community,0-5%,Strongly Agree,Strongly Agree,Neither Agree or Disagree,Strongly Agree,Strongly Agree,,,Supports the local economy,Price,,,Widely available/ convenient,Neutral,Does not influence,Somewhat familiar,Neutral,"Yes, I understand the difference",Somewhat important,Somewhat important,55 - 64,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",150,Supermarket,Moderately Liberal,30,42,368,582,85,112,138,203,79,115,0.3,0.42,3.68,5.82,0.85,1.12,1.38,2.03,0.79,1.15,1,,,0,0,1
215,R_7zxgpfxQ4zJynfP,Missouri,0,0,10.973,0,0,0,12.577,0,,,,,Agree,Agree,Disagree,Disagree,Disagree,Agree,People outside of your race in your local community,21-30%,Agree,Neither Agree or Disagree,Disagree,Strongly Agree,Neither Agree or Disagree,,,Supports the local economy,Price,Healthiness,,,Neutral,Slightly influences,Somewhat familiar,Neutral,"Yes, I understand the difference",Somewhat important,Neutral,25 - 34,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",100,Supermarket,Extremely Liberal,24,43,438,594,76,129,134,203,79,130,0.24,0.43,4.38,5.94,0.76,1.29,1.34,2.03,0.79,1.3,1,,,1,0,1
394,R_3QnNkyMTbfhuxy4,Virginia,0,0,21.026,0,,,,,0,0,119.712,0,Agree,Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,People outside of your race in your local community,11-20%,Agree,Neither Agree or Disagree,Neither Agree or Disagree,Strongly Agree,Neither Agree or Disagree,,,Supports the local economy,Price,Healthiness,,,Neutral,Somewhat influences,Somewhat familiar,Neutral,"Yes, but I'm unsure of the difference",Neutral,Neutral,35 - 44,Male,White,,,,,,,,,,,,,,some other race,"Yes, Mexican, Mexican American, Chicano","$50,000 - $59,999",350,Supermarket,Neutral,26,41,402,569,80,128,124,204,83,129,0.26,0.41,4.02,5.69,0.8,1.28,1.24,2.04,0.83,1.29,1,,,0,1,1
347,R_64N1HGiVwp0KDmq,Pennsylvania,0,0,3.336,0,0,0,32.312,0,,,,,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Within your race but outside of your local community,0-5%,Agree,Agree,Agree,Strongly Agree,Neither Agree or Disagree,Locally grown,,Supports the local economy,Price,,,,Not responsible at all,Does not influence,Very familar,Not important at all,"Yes, I understand the difference",Not important at all,Not important at all,35 - 44,Male,,,,,,Chinese,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",65,Supermarket,Neutral,27,41,375,559,90,123,152,216,78,117,0.27,0.41,3.75,5.59,0.9,1.23,1.52,2.16,0.78,1.17,1,,,0,0,1
154,R_7KuSprt7JAYiCDJ,Texas,6.942,6.942,7.745,1,,,,,0,0,16.936,0,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,People outside of your race in your local community,0-5%,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Locally grown,,,Price,Healthiness,,,Neutral,Slightly influences,Slightly familiar,Neutral,"Yes, I understand the difference",Very important,Somewhat important,25 - 34,Male,,,,,,,,,,,Other Asian,,,,some other race,"Yes, another Hispanic, Latino, or Spanish Origin","$100,000 - $149,999",100,Supermarket,Slightly Liberal,29,40,435,569,73,129,152,211,72,128,0.29,0.4,4.35,5.69,0.73,1.29,1.52,2.11,0.72,1.28,1,,,0,1,1
444,R_7icvVJRIIUttk5z,New York,0,0,15.818,0,,,,,0,0,54.573,0,Agree,Strongly Agree,Disagree,Agree,Neither Agree or Disagree,Agree,People outside of your race in your local community,0-5%,Agree,Neither Agree or Disagree,Strongly Agree,Strongly Agree,Agree,,,,Price,Healthiness,,Widely available/ convenient,Somewhat responsible,Does not influence,Not familiar at all,Somewhat important,"Yes, I understand the difference",Neutral,Not very important,45 - 54,Male,,,,,,Chinese,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",250,Health/Natural Food Store,Moderately Liberal,27,43,356,554,86,118,142,204,86,112,0.27,0.43,3.56,5.54,0.86,1.18,1.42,2.04,0.86,1.12,1,,,0,1,1
276,R_5b2C1mCZMKJNENW,Tennessee,1.246,1.246,3.886,1,,,,,1.278,1.278,20.988,1,Agree,Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,People outside of your race in your local community,0-5%,Agree,Agree,Strongly Agree,Strongly Agree,Agree,,,,Price,Healthiness,Sold by a socially responsible compmany,,Very responsible,Somewhat influences,Somewhat familiar,Very important,"Yes, I understand the difference",Very important,Very important,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",150,Supermarket,Moderately Liberal,24,42,407,599,81,114,131,200,76,128,0.24,0.42,4.07,5.99,0.81,1.14,1.31,2,0.76,1.28,1,,,1,1,1
