duration,ResponseId,Q2,Q7,Q8,Q9,Q10,Q11,Q12,Q13_1,Q13_2,Q13_3,Q33_17,Q33_18,Q33_19,Q33_20,Q33_21,Q33_22,Q33_23,Q33_24,Q33_25,Q33_26,Q33_27,Q33_28,Q33_29,Q33_30,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_7_TEXT,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_6_TEXT,Q20_1,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q24_15,Q25,Q26,Q27_1,Q28,Q29_5,Q29_6,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10,Q30_11,Q30_12,Q30_13,Q30_14,Q31
408,R_1I6PZ8l7dCVCls6,Tennessee,,,Lincoln,corn,craw fish,con,Neutral,Disagree,Disagree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),never heard of,Not Concerned at all,,,,,,Other (Please Specify),nothing,6,Neutral,Neutral,Trust,Trust,Neutral,Neutral,85 or older,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",2,Protestant,75,51,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,,,,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)"
181,R_2ClyWWzno5qD9yj,Missouri,,,,Broke people ,Alot of broke people ,Corn,Neutral,Neutral,Neutral,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),Here ,Not Concerned at all,Using insect repellent when outdoors,,,,,,,8,Neutral,Neutral,Neutral,Trust,Distrust,Distrust,18 - 24,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",3,Not religious,21,200,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
243,R_3RaLEbIiJsMfa7K,Missouri,,,,Barbecue ,Barbecue ,Corn,Agree,Agree,Strongly Agree,Pecans,Blackberries,,,Pawpaws,Mayhaw,,,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",Wild Nuts,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.","Medical professionals (Doctor, Nurse, etc.)",News/Media,"Educational Institutions (Schools, Colleges, etc.)",,,,,,Somewhat Concerned,,,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,7,Neutral,Neutral,Trust,Neutral,Trust,Neutral,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",4,Protestant,201,192,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)","Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,,,,,Food box (e.g. sourced from many farms/producers; picked up at food hub or delivered to home),,,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)"
163,R_3iBZOjbvjcuHklu,Tennessee,,,Davidson,bbq,bbq,corn,Disagree,Agree,Agree,Pecans,Blackberries,,,,Mayhaw,,Mushrooms,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",Wild Nuts,,Wild Herbs,,"No, but I had heard about a tick bite that makes you allergic to red meat.","Medical professionals (Doctor, Nurse, etc.)",,"Educational Institutions (Schools, Colleges, etc.)",Social Media,,,,,Somewhat Concerned,Using insect repellent when outdoors,,,,,,,7,Trust,Trust,Neutral,Neutral,Distrust,Strongly Distrust,18 - 24,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",2,Not religious,75,18,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,Food box (e.g. sourced from many farms/producers; picked up at food hub or delivered to home),,"Bakery, deli, meal or fish market (gourmet or ethnic)","Supercenter and wholesale (e.g. Walmart, Costco)"
323,R_8AkyGtTm4tuSvLj,Missouri,,,,Corn or beans,Beans,Corn,Agree,Agree,Agree,,,,,,,,Mushrooms,,,,,,,"Yes, I had heard of Alpha-gal syndrome.",,News/Media,,Social Media,,Friends or Family,,,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,3,Trust,Trust,Trust,Trust,Neutral,Neutral,25 - 34,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",4,None of the above or other,100,60,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",Farmers market,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)",Farmers market
572,R_1lav0sunNG0Qmfz,Mississippi,,Lauderdale,,Purple hull beans,Beans,Corn,Agree,Agree,Agree,Pecans,,,,,,,Mushrooms,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,News/Media,,,,,,,Somewhat Concerned,,,,Avoiding areas known for a high presence of Lone Star ticks,,,,6,Trust,Strongly Trust,Trust,Trust,Trust,Neutral,55 - 64,Female,,,American Indian or Alaska Native,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",2,None of the above or other,116,67,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
291,R_3jdGGJPu6R8QTke,Tennessee,,,Blount,Whiskey,Beans,Corn,Agree,Agree,Neutral,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,Social Media,,,,,Not Concerned at all,Using insect repellent when outdoors,,,,,,,8,Trust,Trust,Trust,Trust,Neutral,Neutral,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",4,Protestant,149,90,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,Discount store (e.g. Dollar Store; Aldi)
350,R_2ALU7wXvI5QzvVv,Arkansas,,,,"Wheat and corn
",Beans,Corn,Neutral,Neutral,Neutral,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,Social Media,,,,,Not Very Concerned,,Wearing long sleeves and pants when in wooded or grassy areas,,,,,,8,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,18 - 24,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",5,None of the above or other,120,100,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
320,R_22Mm9oIww4BbR5F,Arkansas,,,,Grapes,Berries ,Corn,Agree,Agree,Strongly Agree,Pecans,Blackberries,,Muscadine Grapes,,,,Mushrooms,,,,,,,"Yes, I had heard of Alpha-gal syndrome.",,News/Media,"Educational Institutions (Schools, Colleges, etc.)",Social Media,,,,,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,4,Trust,Trust,Trust,Strongly Trust,Distrust,Neutral,18 - 24,Female,,,American Indian or Alaska Native,,,,,,,,,,,,,"Yes, another Hispanic, Latino, or Spanish Origin","$40,000 - $49,999",2,Not religious,101,61,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)","Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,,,Farmers market,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)"
459,R_1r1eZsZzQ9D7W7T,Tennessee,,,Knox,Moon  pie,Biscuits ,Corn,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),Nothing ,Neutral,,,,Avoiding areas known for a high presence of Lone Star ticks,,,,2,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,65 - 74,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",1,Protestant,103,14,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)"
174,R_2EF9ot7XdcZZVPZ,Mississippi,,Humphreys,,Catfish,Catfish ,Corn,Strongly Agree,Strongly Agree,Strongly Agree,Pecans,Blackberries,,,,,,,,,Wild Nuts,,,,"Yes, I had heard of Alpha-gal syndrome.",,,"Educational Institutions (Schools, Colleges, etc.)",,,,,,Very Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,,Avoiding areas known for a high presence of Lone Star ticks,,,,9,Strongly Trust,Strongly Trust,Strongly Trust,Strongly Trust,Trust,Trust,18 - 24,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",1,Catholic,196,171,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
864,R_1DXYFwSQN6zF7BZ,Tennessee,,,Sumner,corn hay cotton,Catfish walleye bass,Corn,Neutral,Neutral,Neutral,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),Never heard of it,Not Very Concerned,,,,,,Other (Please Specify), No measures,8,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",,Not religious,206,49,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)"
365,R_uro95TXdK7IwFB7,Arkansas,,,,arkansas,chicken,corn,Agree,Strongly Agree,Neutral,Pecans,Blackberries,,,,,,,,,Wild Nuts,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.","Medical professionals (Doctor, Nurse, etc.)",,"Educational Institutions (Schools, Colleges, etc.)",Social Media,,,,,Very Concerned,,,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,Seeking medical advice or consultation about prevention,,,4,Distrust,Trust,Strongly Trust,Trust,Neutral,Distrust,18 - 24,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",2,Not religious,103,78,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,Farmers market,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
170,R_3M9g5gVVKkAPoDs,Arkansas,,,,Chicken,Chicken ,Corn,Agree,Agree,Agree,,Blackberries,,,,,,,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,Social Media,,,,,Not Concerned at all,,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,6,Neutral,Trust,Neutral,Trust,Distrust,Neutral,25 - 34,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",2,Not religious,150,110,"Supercenter and wholesale (e.g. Walmart, Costco)",,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,Discount store (e.g. Dollar Store; Aldi),,Farmers market,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)","Supercenter and wholesale (e.g. Walmart, Costco)"
253,R_rkijmAYC2U7bBOV,Mississippi,,Yazoo,,"Catfish, cotton, corn, oatmeal ",Chicken ,Corn,Neutral,Disagree,Strongly Disagree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,Social Media,,,,,Somewhat Concerned,,,,Avoiding areas known for a high presence of Lone Star ticks,,,,1,Neutral,Trust,Distrust,Strongly Distrust,Trust,Strongly Trust,35 - 44,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",1,Catholic,200,200,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)","Supercenter and wholesale (e.g. Walmart, Costco)"
310,R_3GdjF3qGZMkWDkb,Mississippi,,Carroll,,Chicken ,Chicken ,Corn,Agree,Disagree,Disagree,Pecans,Blackberries,,Muscadine Grapes,Pawpaws,,Persimmons,Mushrooms,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",Wild Nuts,,Wild Herbs,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),This survey ,Not Concerned at all,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,4,Strongly Trust,Neutral,Trust,Neutral,Distrust,Strongly Distrust,25 - 34,Female,White,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",3,Atheist/Agnostic,120,170,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)","Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",Farmers market,"Direct from producer (other than farmers markets; e.g. CSA, farm stand, ordering online from a producer)",Food box (e.g. sourced from many farms/producers; picked up at food hub or delivered to home),"Meal/Meal Kit Delivery Service (e.g. Blue Apron, Schwan's, etc.)","Bakery, deli, meal or fish market (gourmet or ethnic)",Farmers market
391,R_1hXwXAfGo51cjec,Tennessee,,,Knox,Corn,Corn,Corn,Strongly Agree,Agree,Agree,Pecans,Blackberries,,,,,,Mushrooms,,,,,,,"No, I have never heard of this before.",,News/Media,,,,,,,Somewhat Concerned,,Wearing long sleeves and pants when in wooded or grassy areas,,,,,,10,Distrust,Trust,Neutral,Neutral,Trust,Trust,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",4,Protestant,118,51,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
342,R_8p4gt89jsUJUwqB,Tennessee,,,Hamilton,Corn,Corn,Corn,Neutral,Neutral,Neutral,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),None but I have to check something ,Neutral,,,,,Seeking medical advice or consultation about prevention,,,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",4,None of the above or other,103,133,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
233,R_3hfMF7EhZgxP0Z8,Arkansas,,,,Beef and chicken,Corn,Corn,Agree,Agree,Neutral,Pecans,Blackberries,,Muscadine Grapes,,,,Mushrooms,Sassafras,,Wild Nuts,Cattails,Wild Herbs,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,Social Media,,,,,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,5,Trust,Strongly Trust,Strongly Trust,Strongly Trust,Neutral,Trust,35 - 44,Male,White,,American Indian or Alaska Native,,,,,,,,,,,,some other race,"Yes, another Hispanic, Latino, or Spanish Origin","$20,000 - $29,999",3,None of the above or other,120,120,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)"
177,R_1j9EB3lwccW9Uyq,Mississippi,,Pike,,Mississippi ,Corn,Corn,Agree,Agree,Agree,,Blackberries,,,,,,,,,Wild Nuts,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),Nothing ,Neutral,,,Checking for ticks after spending time outdoors,,,,,9,Trust,Trust,Trust,Trust,Trust,Neutral,35 - 44,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",2,None of the above or other,107,68,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
227,R_1ImcJGPYZNFjFRF,Tennessee,,,Scott,Corn,Corn,Corn,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),None,Not Very Concerned,Using insect repellent when outdoors,,,,,,,1,Neutral,Trust,Trust,Trust,Strongly Distrust,Strongly Distrust,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",2,Not religious,74,0,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
290,R_1N1TQJhstpZZArS,Tennessee,,,Hawkins,Corn,corn,corn,Agree,Agree,Neutral,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,News/Media,,,,,,,Neutral,,,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,0,Trust,Trust,Neutral,Neutral,Neutral,Neutral,65 - 74,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",2,Not religious,142,8,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,Farmers market,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)"
169,R_1LRtkeqS8gOzilj,Louisiana,Bienville,,,Corn ,Corn ,Corn,Strongly Agree,Strongly Agree,Strongly Agree,,Blackberries,,,,Mayhaw,,Mushrooms,,,Wild Nuts,,,,"Yes, I had heard of Alpha-gal syndrome.","Medical professionals (Doctor, Nurse, etc.)",,,,,,,,Very Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,,,Seeking medical advice or consultation about prevention,,,10,Trust,Strongly Trust,Trust,Strongly Trust,Distrust,Neutral,18 - 24,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$80,000 - $89,999",,Catholic,147,135,"Supercenter and wholesale (e.g. Walmart, Costco)",,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,,,Farmers market,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)"
227,R_3dREXbRV6YlTHvY,Arkansas,,,,Corn,Corn ,Corn,Strongly Disagree,Neutral,Neutral,,Blackberries,,,,,,Mushrooms,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,,,"Yes, I had heard of Alpha-gal syndrome.",,News/Media,"Educational Institutions (Schools, Colleges, etc.)",Social Media,,,,,Very Concerned,,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,5,Distrust,Distrust,Neutral,Trust,Distrust,Strongly Trust,18 - 24,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",4,Catholic,143,132,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)","Health/natural supermarket (e.g. Whole Foods, Natural Grocers)","Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",Farmers market,"Direct from producer (other than farmers markets; e.g. CSA, farm stand, ordering online from a producer)",Food box (e.g. sourced from many farms/producers; picked up at food hub or delivered to home),"Meal/Meal Kit Delivery Service (e.g. Blue Apron, Schwan's, etc.)","Bakery, deli, meal or fish market (gourmet or ethnic)","Supercenter and wholesale (e.g. Walmart, Costco)"
225,R_1nPZCQY9nuIecSj,Arkansas,,,,Rice,Corn rice,Corn,Neutral,Neutral,Neutral,Pecans,,,,,,,,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,Social Media,,,,,Somewhat Concerned,Using insect repellent when outdoors,,,,,,,3,Neutral,Strongly Distrust,Neutral,Trust,Strongly Distrust,Strongly Distrust,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",3,Not religious,120,160,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
394,R_3k7gkQCIMn7zeoq,Missouri,,,,Corn,"Corn, beans ",Corn,Disagree,Disagree,Disagree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,News/Media,,,,,,,Neutral,,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,7,Neutral,Trust,Neutral,Neutral,Distrust,Distrust,18 - 24,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",5,None of the above or other,125,100,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
388,R_22Rg53VseMVo71q,Louisiana,Evangeline,,,"Rice sugar cane
",Cotten,corn,Strongly Agree,Strongly Agree,Agree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,"Educational Institutions (Schools, Colleges, etc.)",,,,,,Not Concerned at all,,,,Avoiding areas known for a high presence of Lone Star ticks,,,,8,Neutral,Trust,Neutral,Neutral,Trust,Distrust,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",2,Protestant,106,93,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)","Bakery, deli, meal or fish market (gourmet or ethnic)"
245,R_1fjZh0XZmgL37Tr,Mississippi,,Tishomingo,,Soybeans ,Cotton,Corn,Agree,Agree,Agree,Pecans,Blackberries,,Muscadine Grapes,,,,,,,,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),This survey ,Very Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,10,Strongly Trust,Strongly Trust,Trust,Trust,Distrust,Trust,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",1,None of the above or other,47,0,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,,,,,,Discount store (e.g. Dollar Store; Aldi)
152,R_2trIPu5HBM0td3e,Louisiana,Lafayette,,,boudin,cracklins,corn,Agree,Agree,Strongly Agree,Pecans,Blackberries,,,,,,,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,Social Media,,,,,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,,,,,,7,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,25 - 34,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",1,Not religious,101,51,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,,"Direct from producer (other than farmers markets; e.g. CSA, farm stand, ordering online from a producer)",,,"Bakery, deli, meal or fish market (gourmet or ethnic)","Supercenter and wholesale (e.g. Walmart, Costco)"
314,R_xt4DP40Yi9F0NMJ,Arkansas,,,,Crawfish,Crayfish,Corn,Agree,Neutral,Agree,Pecans,,,Muscadine Grapes,Pawpaws,,Persimmons,Mushrooms,,,Wild Nuts,,Wild Herbs,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),I was not aware ,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,2,Distrust,Distrust,Neutral,Trust,Distrust,Trust,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",3,None of the above or other,111,29,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)","Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)"
294,R_1EhX3irrvj8Mcod,Tennessee,,,Campbell,Corn,Friut,Corn,Agree,Neutral,Disagree,,Blackberries,,,,,,,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),None,Somewhat Concerned,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,,,,,7,Neutral,Neutral,Distrust,Neutral,Distrust,Neutral,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",2,None of the above or other,125,67,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
