Duration (in seconds),Q2,Q7,Q8,Q9,Q10,Q11,Q12,Q13_1,Q13_2,Q13_3,Q33_17,Q33_18,Q33_19,Q33_20,Q33_21,Q33_22,Q33_23,Q33_24,Q33_25,Q33_26,Q33_27,Q33_28,Q33_29,Q33_30,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_7_TEXT,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_6_TEXT,Q20_1,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q24_15,Q25,Q26,Q27_1,Q28,Q29_5,Q29_6,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10,Q30_11,Q30_12,Q30_13,Q30_14,Q31,opp,gc,term,rid,RISN,V,LS,SVID,transaction_id,PS,Q_BallotBoxStuffing,Q_TotalDuration,Q_CHL,psid,entrySigCheck,race
164,Arkansas,,,,Corn,Corn curb CTN chi cynic corn,Corn corn corn corn,Disagree,Strongly Disagree,Disagree,,,,Muscadine Grapes,,,,,,,,,Wild Herbs,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,"Educational Institutions (Schools, Colleges, etc.)",,,,,,Somewhat Concerned,,,,Avoiding areas known for a high presence of Lone Star ticks,,,,6,Strongly Distrust,Distrust,Distrust,Neutral,Trust,Neutral,25 - 34,Non-binary / transgender,,,,,,Chinese,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$90,000 - $99,999",4,Muslim,98,153,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,,,,,,,,Food box (e.g. sourced from many farms/producers; picked up at food hub or delivered to home),Qual29638-0912-ConsumersStudy[BA],1,,65222fb4-96d1-8075-2841-e827346e14b7,41868610,H,1338,,,,,164,anonymous,Value will be set from Panel or URL,on,Asian or Pacific Islander
418,Tennessee,,,Hamilton,Biscuits and gravy,Gumbo,Potato ,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Blackberries,,,,,,,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,Wild Herbs,,"Yes, I had heard of Alpha-gal syndrome.",,,,,,Friends or Family,,,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,10,Strongly Distrust,Strongly Distrust,Trust,Trust,Distrust,Strongly Distrust,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",2,None of the above or other,250,250,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,Food box (e.g. sourced from many farms/producers; picked up at food hub or delivered to home),,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,65222ec9-ee3b-f5cb-22f1-ab0f65e0f858,41868610,H,1338,,,,,418,anonymous,Value will be set from Panel or URL,on,White
217,Mississippi,,Alcorn,,Fries,Burgers,Mustered,Neutral,Neutral,Neutral,,,Ramps,,,Mayhaw,,,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,,,"Yes, I had heard of Alpha-gal syndrome.",,,"Educational Institutions (Schools, Colleges, etc.)",,,,,,Not Very Concerned,,Wearing long sleeves and pants when in wooded or grassy areas,,Avoiding areas known for a high presence of Lone Star ticks,,,,5,Distrust,Neutral,Distrust,Distrust,Neutral,Neutral,18 - 24,Non-binary / transgender,,,American Indian or Alaska Native,,,,Filipino,,,,,,,,,"Yes, another Hispanic, Latino, or Spanish Origin","$30,000 - $39,999",7,Buddhist,106,165,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,52LWRTdUcrYhqViUxJnvom,29,,217,anonymous,Value will be set from Panel or URL,on,
938,Tennessee,,,Weakley,Corn soy beans,"Rice, corn, soy beans oranges and pineapple ",Corn,Neutral,Disagree,Disagree,,Blackberries,,,,,,Mushrooms,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,Social Media,,,,,Not Very Concerned,Using insect repellent when outdoors,,,,,,,5,Trust,Trust,Trust,Trust,Distrust,Distrust,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",2,None of the above or other,75,8,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,,,,Discount store (e.g. Dollar Store; Aldi),Qual29638-0912-ConsumersStudy[BA],1,,65222cf9-b86f-ead1-7cb1-eaf30cf6105f,41868610,H,1338,,,,,938,anonymous,Value will be set from Panel or URL,on,White
734,Tennessee,,,Houston,lots,lots,idk,Strongly Disagree,Disagree,Neutral,,,,,,,,Mushrooms,,,,,,,"Yes, I had heard of Alpha-gal syndrome.",,,"Educational Institutions (Schools, Colleges, etc.)",,,,,,Not Concerned at all,Using insect repellent when outdoors,,,,,,,2,Strongly Distrust,Distrust,Neutral,Trust,Strongly Trust,Trust,18 - 24,Female,,Black or African American,,,,,,,,,,,,,,"Yes, another Hispanic, Latino, or Spanish Origin","$50,000 - $59,999",3,Not religious,64,84,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,Discount store (e.g. Dollar Store; Aldi),Qual29638-0912-ConsumersStudy[BA],1,,65222ddd-2ab7-e5a9-0ab7-1aaca32bba1e,41868610,H,1338,,,,,734,anonymous,Value will be set from Panel or URL,on,
2556,Arkansas,,,,Southern hush puppies Arkansas possum pie southern biscuits with chocolate gravy and rice,Mississippi mud pie fried dill pickles Delta tamales pressed Po'boy,Rice and corn,Agree,Agree,Agree,,,,,,,,,,,,,Wild Herbs,,"Yes, I had heard of Alpha-gal syndrome.","Medical professionals (Doctor, Nurse, etc.)",,,,,,,,Very Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,Seeking medical advice or consultation about prevention,,,6,Neutral,Neutral,Trust,Neutral,Neutral,Neutral,25 - 34,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",4,Protestant,250,145,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,Farmers market,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)","Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,65222728-1467-4ea1-0ac6-4ba905ff3f08,41868610,H,1338,,,,,2556,anonymous,Value will be set from Panel or URL,on,White
158,Mississippi,,Jackson,,Corn,Tomatoes ,Pumpkins ,Strongly Disagree,Neutral,Neutral,,,Ramps,,,,,Mushrooms,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,,,"Yes, I had heard of Alpha-gal syndrome.",,,"Educational Institutions (Schools, Colleges, etc.)",,,,,,Neutral,,,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,7,Distrust,Neutral,Trust,Neutral,Neutral,Trust,25 - 34,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",5,Not religious,133,106,"Supercenter and wholesale (e.g. Walmart, Costco)",,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)","Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,,,,,,,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",Qual29638-0912-ConsumersStudy[BA],1,,652230c4-7ff9-cf83-abd5-c619450cfecb,41868610,H,1338,,,,,158,anonymous,Value will be set from Panel or URL,on,White
416,Tennessee,,,Maury,Corn,Corn,Pecans,Neutral,Neutral,Neutral,Pecans,Blackberries,,,,,,,,,,,,,"Yes, I had heard of Alpha-gal syndrome.",,News/Media,,,,,,,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,,Avoiding areas known for a high presence of Lone Star ticks,,,,7,Neutral,Trust,Neutral,Neutral,Neutral,Distrust,25 - 34,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",,Catholic,110,113,"Supercenter and wholesale (e.g. Walmart, Costco)",,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,65222fef-a68c-785e-a357-6b52374a9129,41868610,H,1338,,,,,416,anonymous,Value will be set from Panel or URL,on,White
514,Louisiana,St Tammany,,,Creole tomatoes.,Oranges or peaches,Red potatoes,Neutral,Disagree,Disagree,,,,,,,,,,,,,,None of the above,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,,,Friends or Family,,,Somewhat Concerned,,,,Avoiding areas known for a high presence of Lone Star ticks,,,,8,Neutral,Trust,Neutral,Trust,Neutral,Distrust,18 - 24,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",3,Catholic,150,25,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,65222fa0-c5d7-b7e8-6829-6c1fbcabb54b,41868610,H,1338,,,,,514,anonymous,Value will be set from Panel or URL,on,White
262,Arkansas,,,,SOYBEANS.,Rice,Cotton ,Agree,Agree,Neutral,Pecans,Blackberries,,,,,,,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),This survey,Somewhat Concerned,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,,,,,9,Trust,Strongly Trust,Strongly Trust,Trust,Trust,Neutral,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",3,Protestant,105,90,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,Food box (e.g. sourced from many farms/producers; picked up at food hub or delivered to home),,,Discount store (e.g. Dollar Store; Aldi),Qual29638-0912-ConsumersStudy[BA],1,,652230f0-8f8d-6fc1-9a24-0b37a6de07d7,41868610,H,1338,,,,,262,anonymous,Value will be set from Panel or URL,on,White
492,Louisiana,Orleans,,,Gumbo,Catfish ,None,Neutral,Neutral,Disagree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),None,Not Concerned at all,,,,Avoiding areas known for a high presence of Lone Star ticks,,,,8,Distrust,Distrust,Neutral,Neutral,Distrust,Distrust,35 - 44,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",2,None of the above or other,96,44,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,6522303b-7b35-0b73-fa4c-1f532840b964,41868610,H,1338,,,,,492,anonymous,Value will be set from Panel or URL,on,Black/AA
376,Missouri,,,,Soy and wheat,Grains proteins vegetables and fruits,Vegetables,Neutral,Agree,Neutral,Pecans,Blackberries,,,,,,Mushrooms,,,Wild Nuts,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),Not known of,Not Concerned at all,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,Seeking medical advice or consultation about prevention,,,5,Neutral,Trust,Neutral,Neutral,Distrust,Neutral,18 - 24,Female,,,,,,,,,,,,,,,some other race,"Yes, another Hispanic, Latino, or Spanish Origin","Less than $10,000",5,None of the above or other,100,50,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,65223082-212f-fed1-0151-19905837a14e,41868610,H,1338,,,,,376,anonymous,Value will be set from Panel or URL,on,
375,Arkansas,,,,Corn pork ,Cotton soybeans rice corn ,Corn ,Strongly Agree,Strongly Agree,Strongly Agree,,Blackberries,,Muscadine Grapes,,,Persimmons,Mushrooms,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",Wild Nuts,Cattails,Wild Herbs,,"Yes, I had heard of Alpha-gal syndrome.","Medical professionals (Doctor, Nurse, etc.)",News/Media,,,Community Programs or Workshops,Friends or Family,,,Very Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,Seeking medical advice or consultation about prevention,Other (Please Specify),Not eating red meat now. ,9,Trust,Trust,Distrust,Distrust,Neutral,Strongly Distrust,55 - 64,Female,White,,,,,,,,,,,,,,,"Yes, Mexican, Mexican American, Chicano","$70,000 - $79,999",2,Not religious,85,25,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,,"Direct from producer (other than farmers markets; e.g. CSA, farm stand, ordering online from a producer)",,,,Farmers market,Qual29638-0912-ConsumersStudy[BA],1,,652230fa-ef92-420b-dbd4-a822acb4ca1a,41868610,H,1338,,,,,375,anonymous,Value will be set from Panel or URL,on,
217,Mississippi,,Jackson,,BBQ ribs ,Crawfish ,Chic fil la ,Strongly Agree,Strongly Agree,Strongly Agree,Pecans,,,,,,,,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,Wild Herbs,,"No, I have never heard of this before.",,,,Social Media,,,,,Somewhat Concerned,,,,Avoiding areas known for a high presence of Lone Star ticks,Seeking medical advice or consultation about prevention,,,4,Distrust,Neutral,Neutral,Trust,Strongly Distrust,Trust,18 - 24,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",3,None of the above or other,45,74,,,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,Discount store (e.g. Dollar Store; Aldi),Qual29638-0912-ConsumersStudy[BA],1,,652231b7-fbca-2e5d-5ef8-dc78e9693eab,41868610,H,1338,,,,,217,anonymous,Value will be set from Panel or URL,on,Black/AA
373,Tennessee,,,Bedford,Pizza hot,Burger ,Coffee ,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,None of the above,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,"Educational Institutions (Schools, Colleges, etc.)",,,Friends or Family,,,Very Concerned,,,Checking for ticks after spending time outdoors,,,,,10,Strongly Trust,Strongly Trust,Strongly Trust,Strongly Trust,Strongly Trust,Strongly Trust,18 - 24,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",3,Muslim,181,134,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)","Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,652230a7-1bcc-7956-37ef-3cb6795f7cf2,41868610,H,1338,,,,,373,anonymous,Value will be set from Panel or URL,on,White
469,Louisiana,St Tammany,,,"Seafood, crawfish, strawberries","Catfish, chicken, bread",Citrus fruits,Agree,Neutral,Agree,Pecans,Blackberries,,Muscadine Grapes,,,,,,,,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),This survey,Somewhat Concerned,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,,,,,5,Strongly Distrust,Trust,Trust,Trust,Distrust,Distrust,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",3,Protestant,125,21,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,,,,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",Qual29638-0912-ConsumersStudy[BA],1,,65223171-1758-cc95-5b18-450d83008f81,41868610,H,1338,,,,,469,anonymous,Value will be set from Panel or URL,on,White
539,Tennessee,,,Jefferson,Corn,Soy,Peaches ,Agree,Agree,Agree,,,,,,,,,,,,,,None of the above,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,,,Friends or Family,,,Neutral,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,,,,,7,Distrust,Distrust,Neutral,Neutral,Distrust,Distrust,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",3,Catholic,126,75,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,6522310c-6a43-826b-b212-169f12beca1b,41868610,H,1338,,,,,539,anonymous,Value will be set from Panel or URL,on,White
296,Tennessee,,,Scott,Pinto beans,Polk,Polk,Neutral,Agree,Agree,,,,,,,,,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,,Community Programs or Workshops,Friends or Family,,,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,0,Neutral,Neutral,Trust,Trust,Trust,Distrust,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",5,Not religious,99,36,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,Farmers market,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,65223209-e571-85f8-a078-56d13c3f2129,41868610,H,1338,,,,,296,anonymous,Value will be set from Panel or URL,on,White
245,Missouri,,,,"Corn
",Beans,"Eggplants
",Agree,Agree,Neutral,,,,,,,,,,,,,,None of the above,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,,,Friends or Family,,,Not Very Concerned,,,,,,Other (Please Specify),Not ,8,Neutral,Trust,Strongly Trust,Trust,Neutral,Trust,18 - 24,Male,,,,,,,,,,,,,,,some other race,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",5,Not religious,115,211,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,65223372-0b3d-c059-2b9d-add7d8b8a685,41868610,H,1338,,,,,245,anonymous,Value will be set from Panel or URL,on,American Indian or Alaska Native or Others
345,Mississippi,,Harrison,,"Red beans and rice
Fried chicken
Mashed potatoes ",Gumbo,Fruits ,Neutral,Neutral,Neutral,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.","Medical professionals (Doctor, Nurse, etc.)",,"Educational Institutions (Schools, Colleges, etc.)",,,,,,Very Concerned,,,Checking for ticks after spending time outdoors,,,,,5,Strongly Trust,Strongly Trust,Neutral,Trust,Neutral,Neutral,18 - 24,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",5,None of the above or other,250,0,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,65223354-d33f-12f8-5ab4-2319560aed7f,41868610,H,1338,,,,,345,anonymous,Value will be set from Panel or URL,on,Black/AA
646,Arkansas,,,,"Corn, peas, tomatoes, watermelon","Rice, Wheat, Soybeans, Corn",Peas,Strongly Agree,Strongly Agree,Strongly Agree,Pecans,Blackberries,,,,,,,Sassafras,,,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),None Above,Somewhat Concerned,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,,,,,0,Trust,Trust,Neutral,Neutral,Trust,Neutral,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",3,Protestant,106,55,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,65223254-b22f-a24f-1f19-0b77aa74ab44,41868610,H,1338,,,,,646,anonymous,Value will be set from Panel or URL,on,White
275,Missouri,,,,Corn,Idk,Idk,Neutral,Neutral,Neutral,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),NA,Neutral,,,,,,Other (Please Specify),NA,7,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",3,Not religious,94,37,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,652233e8-8f05-1c95-adad-0b55aee6bfe2,41868610,H,1338,,,,,275,anonymous,Value will be set from Panel or URL,on,White
287,Mississippi,,Attala,,Tomato ,Potato ,Jiffy,Disagree,Agree,Strongly Disagree,,,,,,Mayhaw,Persimmons,,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,News/Media,,Social Media,,,,,Not Concerned at all,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,Seeking medical advice or consultation about prevention,,,6,Strongly Distrust,Distrust,Strongly Distrust,Trust,Neutral,Distrust,25 - 34,Non-binary / transgender,,,,,,Chinese,Filipino,Japanese,,Vietnamese,Other Asian,Guamanian or Chamorro,Samoan,Other Pacific Islander,some other race,"Yes, another Hispanic, Latino, or Spanish Origin","$80,000 - $89,999",6,Buddhist,127,100,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,,Farmers market,,Food box (e.g. sourced from many farms/producers; picked up at food hub or delivered to home),,"Bakery, deli, meal or fish market (gourmet or ethnic)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,65223412-17c0-bc53-92fe-02a3f84d34fc,41868610,H,1338,,,,,287,anonymous,Value will be set from Panel or URL,on,
598,Arkansas,,,,Tomatoes,Rice,Potatoes ,Agree,Agree,Neutral,Pecans,Blackberries,,Muscadine Grapes,,,,,,,,,,,"Yes, I had heard of Alpha-gal syndrome.",,,,Social Media,,,,,Somewhat Concerned,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,,,,,8,Neutral,Trust,Trust,Neutral,Distrust,Distrust,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",7,Protestant,150,119,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,65223323-87ec-1a81-89ec-6ec28430c62c,41868610,H,1338,,,,,598,anonymous,Value will be set from Panel or URL,on,White
190,Arkansas,,,,Barbeque ,Rice,Watermelon ,Agree,Agree,Neutral,Pecans,,,,,,,,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,Social Media,,,,,Neutral,,,Checking for ticks after spending time outdoors,,,,,6,Neutral,Trust,Trust,Trust,Trust,Neutral,45 - 54,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",3,None of the above or other,62,42,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,65223595-0efd-ca61-b28b-ed3449337d22,41868610,H,1338,,,,,190,anonymous,Value will be set from Panel or URL,on,Black/AA
319,Missouri,,,,Greens,Corn ,Wheat,Agree,Agree,Agree,,Blackberries,,,,,,Mushrooms,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),This survey ,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,9,Strongly Distrust,Distrust,Neutral,Neutral,Strongly Distrust,Neutral,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",2,None of the above or other,80,14,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,6522354d-889c-5e64-8ca9-71783f600275,41868610,H,1338,,,,,319,anonymous,Value will be set from Panel or URL,on,White
176,Louisiana,Lafayette,,,Sugarcane,Rice,Rice,Disagree,Neutral,Disagree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,Social Media,,,,,Not Concerned at all,Using insect repellent when outdoors,,,,,,,5,Neutral,Trust,Strongly Trust,Trust,Distrust,Distrust,25 - 34,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",3,Atheist/Agnostic,186,33,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,65223620-09fa-928f-edcb-120d96b9ed5a,41868610,H,1338,,,,,176,anonymous,Value will be set from Panel or URL,on,White
