Duration (in seconds),LocationLatitude,LocationLongitude,Q2,Q7,Q8,Q9,Q10,Q11,Q12,Q13_1,Q13_2,Q13_3,Q33,Q15,Q16,Q16_7_TEXT,Q17,Q18,Q18_6_TEXT,Q20_1,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22,Q23,Q24,Q25,Q26,Q27_1,Q28,Q29_5,Q29_6,Q30,Q31,opp,gc,term,rid,RISN,V,LS,SVID,transaction_id,PS,Q_BallotBoxStuffing,Q_TotalDuration,Q_CHL,psid,entrySigCheck,race
21,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223d19-b564-2901-77a4-7d3b535987dd,41868610,H,,,,,,21,anonymous,Value will be set from Panel or URL,on,
22,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223d15-95b0-6c6c-df50-19319dd0309c,41868610,H,,,,,,22,anonymous,Value will be set from Panel or URL,on,
16,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223d36-dbdb-69a9-b85e-df35cd8acff2,41868610,H,,,,,,16,anonymous,Value will be set from Panel or URL,on,
18,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223d37-77b8-7761-44f3-c979172c5d80,41868610,H,,,,,,18,anonymous,Value will be set from Panel or URL,on,
545,37.2117,-93.299,7,,,,"Beef, corn, sorghum",Shrimp,Wheat,4,4,4,30,2,"1,4,6",,2,"1,2",,2,4,5,5,4,2,2,7,2,1,1,4,2,2,65,21,"4,8",4,Qual29638-0912-ConsumersStudy[BA],1,,65223b49-9dff-ce25-454a-4407835ceda7,41868610,H,1338,,,,,545,anonymous,Value will be set from Panel or URL,on,White
22,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223d2e-4287-e9f6-212c-6292392e380d,41868610,H,,,,,,22,anonymous,Value will be set from Panel or URL,on,
115,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223d22-044b-6f22-d7d3-744a48433e90,41868610,H,,,,,,115,anonymous,Value will be set from Panel or URL,on,
227,36.8113,-114.1235,5,47,,,Pissa,Pissa,Pissa,5,4,4,"17,20,21,22,28",1,"1,3,5",,1,"1,2,4,5",,8,3,4,5,4,4,5,3,1,1,1,12,4,2,55,67,"4,5,7,8",4,Qual29638-0912-ConsumersStudy[BA],1,,65223c9e-cfc8-2918-d21a-7353f250e95f,41868610,H,1338,,,,,227,anonymous,Value will be set from Panel or URL,on,White
16,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223dad-898e-8fe7-a673-5ad67dbcb327,41868610,H,,,,,,16,anonymous,Value will be set from Panel or URL,on,
13,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223db0-33ae-fa2b-4597-879aba562b17,41868610,H,,,,,,13,anonymous,Value will be set from Panel or URL,on,
18,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223dba-e4aa-8ca0-cbf9-1b342b1d8e9a,41868610,H,,,,,,18,anonymous,Value will be set from Panel or URL,on,
72,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223d33-81bc-573b-ebd7-8e252bf43f4f,41868610,H,,,,,,72,anonymous,Value will be set from Panel or URL,on,
19,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223df4-b2bc-7628-691c-1a7a6d81e7f5,41868610,H,,,,,,19,anonymous,Value will be set from Panel or URL,on,
17,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223de8-d38e-1d6e-dd6b-ed3310292e2e,41868610,H,,,,,,17,anonymous,Value will be set from Panel or URL,on,
14,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223df7-d167-b2ee-c9aa-23f50408b547,41868610,H,,,,,,14,anonymous,Value will be set from Panel or URL,on,
14,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223def-7188-73d7-b57f-8db9b0e599d2,41868610,H,,,,,,14,anonymous,Value will be set from Panel or URL,on,
23,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223e34-cdda-a313-4ce1-91a92aed1992,41868610,H,,,,,,23,anonymous,Value will be set from Panel or URL,on,
12,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223e3e-a833-bf46-c9db-8f41e1b1f083,41868610,H,,,,,,12,anonymous,Value will be set from Panel or URL,on,
12,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223e55-ee97-1737-ea4b-ef5d6a6c2944,41868610,H,,,,,,12,anonymous,Value will be set from Panel or URL,on,
39,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223e23-a519-5aa0-adec-4fe435113d93,41868610,H,,,,,,39,anonymous,Value will be set from Panel or URL,on,
11,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223e5f-a272-c632-7336-192dc74e3a7e,41868610,H,,,,,,11,anonymous,Value will be set from Panel or URL,on,
45,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223e09-2463-7599-1160-e2d248176258,41868610,H,,,,,,45,anonymous,Value will be set from Panel or URL,on,
47,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223e3a-69d5-5b41-85ee-2095d3f3202d,41868610,H,,,,,,47,anonymous,Value will be set from Panel or URL,on,
661,33.9372,-84.0791,8,,,6,Stake ,The oda ,Grits ,1,4,3,"20,28",1,"2,3,5",,3,"2,3,5",,3,2,1,1,4,4,2,2,1,2,4,4,3,9,172,92,"4,7,12,14",11,Qual29638-0912-ConsumersStudy[BA],1,,65223bef-0274-44df-17c3-917ce210967d,41868610,H,1338,,,,,661,anonymous,Value will be set from Panel or URL,on,
33,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223e55-2fbe-0621-bbf8-358ca2dea0b5,41868610,H,,,,,,33,anonymous,Value will be set from Panel or URL,on,
169,34.2529,-118.418,5,7,,,Corn ,Corn ,Corn,5,5,5,"18,22,24,27",1,1,,1,"1,2,5",,10,4,5,4,5,2,3,2,2,1,1,9,,2,147,135,"4,6,10",5,Qual29638-0912-ConsumersStudy[BA],1,,65223ddb-2983-ec23-e708-9598593d758a,41868610,H,1338,,,,,169,anonymous,Value will be set from Panel or URL,on,White
35,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223e7a-2d16-16f3-3a9a-29307c69a9bb,41868610,H,,,,,,35,anonymous,Value will be set from Panel or URL,on,
96,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223e6e-50fa-31f8-bd54-b7a451a4f368,41868610,H,,,,,,96,anonymous,Value will be set from Panel or URL,on,
70,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223e2c-63cc-994f-54b5-0fe44121557f,41868610,H,,,,,,70,anonymous,Value will be set from Panel or URL,on,
66,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223e8b-fe76-a8c9-dfe1-7cba50d886b9,41868610,H,,,,,,66,anonymous,Value will be set from Panel or URL,on,
489,33.6871,-84.151,8,,,79,Tomatoes ,Seafood,Peaches,3,4,3,"17,18,20,29",2,6,,1,"2,3",,1,3,2,2,3,2,2,4,2,"1,2",1,6,2,9,125,79,"4,5,6,7,14",14,Qual29638-0912-ConsumersStudy[BA],1,,65223cef-ee3a-ebfa-f79a-4401806b6c12,41868610,H,1338,,,,,489,anonymous,Value will be set from Panel or URL,on,White
49,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223ef5-90bb-b451-ee89-30366e6bc24d,41868610,H,,,,,,49,anonymous,Value will be set from Panel or URL,on,
205,36.1938,-83.2784,8,,,47,Bbq,Soul fiod,Corn,3,3,3,30,3,7,None,3,1,,9,3,3,3,3,3,3,4,2,"1,3",1,7,3,9,219,102,"4,5,7,8",4,Qual29638-0912-ConsumersStudy[BA],1,,65223e73-5b11-8053-a164-3a87b434ecee,41868610,H,1338,,,,,205,anonymous,Value will be set from Panel or URL,on,White
11,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223f1b-73ad-afa1-3395-11246a77ba1e,41868610,H,,,,,,11,anonymous,Value will be set from Panel or URL,on,
14,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223f21-8526-b5c4-a064-e8399ae614a8,41868610,H,,,,,,14,anonymous,Value will be set from Panel or URL,on,
815,34.7448,-92.2883,2,,,,Rice,Rice,Rice,4,4,4,"18,20,23,25",3,7,This survey,2,3,,10,2,3,4,4,1,3,6,1,1,1,2,2,9,63,15,"4,5,7,8,10",5,Qual29638-0912-ConsumersStudy[BA],1,,65223c30-af73-fff3-b290-1ef084fde625,41868610,H,1338,,,,,815,anonymous,Value will be set from Panel or URL,on,White
182,36.0683,-119.0343,5,7,,,A lot,Yes,Okay but what is this about ssss ,3,2,3,"17,18,24,27",1,"1,5",,2,"1,2",,5,3,3,3,3,3,3,3,2,"1,3",5,4,4,9,86,0,"4,5,8",5,Qual29638-0912-ConsumersStudy[BA],1,,65223ef0-2687-3614-5812-c48658d16e72,41868610,H,1338,,,,,182,anonymous,Value will be set from Panel or URL,on,
16,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223f8c-63b7-dc86-672a-734ad1430730,41868610,H,,,,,,16,anonymous,Value will be set from Panel or URL,on,
15,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223f61-8228-2aff-5e83-211d968d2291,41868610,H,,,,,,15,anonymous,Value will be set from Panel or URL,on,
115,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223f1e-7d94-1029-3570-25113b23e7f9,41868610,H,,,,,,115,anonymous,Value will be set from Panel or URL,on,
64,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223f07-3b43-b3d3-c165-4018e402b44c,41868610,H,,,,,,64,anonymous,Value will be set from Panel or URL,on,
72,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223f6e-45d6-cf4d-b6dd-07326f72de7c,41868610,H,,,,,,72,anonymous,Value will be set from Panel or URL,on,
175,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223f17-0746-e713-53d1-9f7706a80216,41868610,H,,,,,,175,anonymous,Value will be set from Panel or URL,on,
17,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223fc0-65fc-8bf2-773a-06923fd21b47,41868610,H,,,,,,17,anonymous,Value will be set from Panel or URL,on,
12,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223fdb-a358-5c9b-f523-2fe534a69d8e,41868610,H,,,,,,12,anonymous,Value will be set from Panel or URL,on,
24,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223ff0-ee54-4213-d5b8-7949602ff35a,41868610,H,,,,,,24,anonymous,Value will be set from Panel or URL,on,
13,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6522402f-5872-2be5-a938-741d543d79cb,41868610,H,,,,,,13,anonymous,Value will be set from Panel or URL,on,
197,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65223f57-061e-299d-059d-07493e64a7f2,41868610,H,,,,,,197,anonymous,Value will be set from Panel or URL,on,
13,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65224034-18bf-0f7e-bc0e-df56cc50b35a,41868610,H,,,,,,13,anonymous,Value will be set from Panel or URL,on,
44,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65224005-8424-36e8-cf9b-99aa8dfb21d3,41868610,H,,,,,,44,anonymous,Value will be set from Panel or URL,on,
23,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65224002-c7df-782e-1f71-ee398ccb08fa,41868610,H,,,,,,23,anonymous,Value will be set from Panel or URL,on,
10,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65224064-92e1-4525-f791-6dc2019454ed,41868610,H,,,,,,10,anonymous,Value will be set from Panel or URL,on,
15,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6522405d-da63-0e8a-fb05-3ac6a9e318a5,41868610,H,,,,,,15,anonymous,Value will be set from Panel or URL,on,
17,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65224076-44db-2e2d-5bbb-9bea739cad31,41868610,H,,,,,,17,anonymous,Value will be set from Panel or URL,on,
44,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65224041-8422-9ce6-e74d-437b694f8689,41868610,H,,,,,,44,anonymous,Value will be set from Panel or URL,on,
25,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65224070-b902-98bf-4157-c86a1d162546,41868610,H,,,,,,25,anonymous,Value will be set from Panel or URL,on,
10,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65224083-725f-a071-a51c-5ee8ee558eaf,41868610,H,,,,,,10,anonymous,Value will be set from Panel or URL,on,
14,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6522408f-f7b1-e101-8d0d-0d659d4f1995,41868610,H,,,,,,14,anonymous,Value will be set from Panel or URL,on,
25,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6522409e-97e1-76ac-3043-7357fba4eb96,41868610,H,,,,,,25,anonymous,Value will be set from Panel or URL,on,
18,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,652240a0-9559-b4e0-7379-dfa4d5cfbdb5,41868610,H,,,,,,18,anonymous,Value will be set from Panel or URL,on,
44,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,652240a0-488f-2f45-f4c8-a61ce976f7fe,41868610,H,,,,,,44,anonymous,Value will be set from Panel or URL,on,
101,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65224084-155a-eac0-1e6b-37e26b63ad5d,41868610,H,,,,,,101,anonymous,Value will be set from Panel or URL,on,
14,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,652240ec-65ac-9638-486d-6905edf6c73f,41868610,H,,,,,,14,anonymous,Value will be set from Panel or URL,on,
24,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,652240c2-d925-6b61-2436-7eab9e94f04d,41868610,H,,,,,,24,anonymous,Value will be set from Panel or URL,on,
46,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,652240b6-96b1-2cb1-421f-9cab4c8172a4,41868610,H,,,,,,46,anonymous,Value will be set from Panel or URL,on,
484,31.5477,-91.3666,5,7,,,Beef,Chicken,Fish,2,2,2,"17,18",3,4,,1,5,,1,3,3,3,3,3,3,3,2,2,1,10,7,9,250,106,"4,8",4,Qual29638-0912-ConsumersStudy[BA],1,,65223ee0-c447-7189-4350-89451b559c80,41868610,H,1338,,,,,484,anonymous,Value will be set from Panel or URL,on,Black/AA
207,39.8798,-83.0883,8,,,7,Italian,Corn,All foods,5,5,5,"17,18,29",1,"2,3,5,6",,2,"1,2,3,4,5",,4,3,4,4,5,4,3,3,2,1,1,9,3,1,115,85,"4,5,6,8,9",9,Qual29638-0912-ConsumersStudy[BA],1,,6522404c-cef8-ae41-4ac1-b497cb417404,41868610,H,1338,,,,,207,anonymous,Value will be set from Panel or URL,on,White
22,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,652240e3-1b64-80ce-db13-e12db31d1b80,41868610,H,,,,,,22,anonymous,Value will be set from Panel or URL,on,
10,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65224108-b0dc-8ea3-cb69-dc468e9eeab8,41868610,H,,,,,,10,anonymous,Value will be set from Panel or URL,on,
18,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6522410f-3c5d-eaaf-6eae-a4b5bbba416f,41868610,H,,,,,,18,anonymous,Value will be set from Panel or URL,on,
1326,36.1052,-86.6591,8,,,57,"SOYBEAN
CORN
TOMATO",Corn,N/A,1,1,3,"17,18",1,"1,6",,2,"1,2,3,4",,7,3,4,3,4,2,3,7,2,1,1,4,2,1,100,152,"4,5,7,8,10",5,Qual29638-0912-ConsumersStudy[BA],1,,65223ba9-d216-8e28-1f0c-f862c4505185,41868610,H,1338,,,,,1326,anonymous,Value will be set from Panel or URL,on,White
13,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65224118-d911-49e6-de54-8322433753e6,41868610,H,,,,,,13,anonymous,Value will be set from Panel or URL,on,
11,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6522415d-ad83-d5a5-34d1-8e6991c3e97b,41868610,H,,,,,,11,anonymous,Value will be set from Panel or URL,on,
27,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65224151-6283-f9c4-e004-0e722c40fe19,41868610,H,,,,,,27,anonymous,Value will be set from Panel or URL,on,
18,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6522417f-7cc4-18b6-afa5-780ea347c8c7,41868610,H,,,,,,18,anonymous,Value will be set from Panel or URL,on,
19,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6522412d-b34d-042f-b649-2a69bf632c9d,41868610,H,,,,,,19,anonymous,Value will be set from Panel or URL,on,
262,47.6144,-122.3447,2,,,,Mushrooms ,5,Ramps ,5,4,5,"17,18,19,20,21,23,24,25,28,29",1,"1,2,3,4,5",,1,"1,2,3,4",,10,5,5,5,5,5,5,4,2,1,1,12,4,1,214,222,"4,5,6,7,8,9,10,11,12,13",5,Qual29638-0912-ConsumersStudy[BA],1,,652240ab-279f-a5b3-c120-8aba79b004ab,41868610,H,1338,,,,,262,anonymous,Value will be set from Panel or URL,on,White
221,39.7534,-94.8191,7,,,,Idk,Idk,Idk,5,5,5,30,3,4,,5,5,,1,4,5,2,4,5,5,4,2,1,1,1,1,10,84,68,4,5,Qual29638-0912-ConsumersStudy[BA],1,,65224114-a865-d84e-4318-db73888960ee,41868610,H,1338,,,,,221,anonymous,Value will be set from Panel or URL,on,White
48,,,7,,,,wowk,o,je,1,5,1,"19,20,23",2,2,,4,5,,1,2,2,2,2,2,2,1,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,age,652241bc-3d11-fc2d-624a-617b88c92bc6,41868610,H,,,,,,48,anonymous,Value will be set from Panel or URL,on,
21,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,652241e9-8411-bd16-a7b3-72c2458045d0,41868610,H,,,,,,21,anonymous,Value will be set from Panel or URL,on,
739,36.3312,-92.3753,2,,,,Rice - Strawberries - Apples - Tomatoes,More variety of Vegetables,Peaches - Cherries - Pears - Turnips,4,4,4,18,2,4,,2,"1,2,3,4",,2,4,4,3,4,3,3,9,2,1,1,7,1,1,75,5,"4,8,9,10",9,Qual29638-0912-ConsumersStudy[BA],1,,65223f0c-4e19-f219-c52a-1bfda722a66b,41868610,H,1338,,,,,739,anonymous,Value will be set from Panel or URL,on,White
505,39.696,-105.0346,2,,,,Peaches,Wheat,Water melon ,5,5,4,"18,20",3,4,,3,3,,8,1,1,4,3,1,1,5,2,1,1,2,5,9,45,14,"4,5,7,8",4,Qual29638-0912-ConsumersStudy[BA],1,,6522401b-c916-2df7-92e5-55d94fe633d4,41868610,H,1338,,,,,505,anonymous,Value will be set from Panel or URL,on,White
20,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6522420f-984c-dcf7-d21e-b998af465055,41868610,H,,,,,,20,anonymous,Value will be set from Panel or URL,on,
165,47.6144,-122.3447,2,,,,Cheese,Apples,Pairs,1,3,3,"17,18,27",1,5,,1,2,,7,2,4,4,2,3,3,2,2,1,2,4,8,2,162,195,"6,11",7,Qual29638-0912-ConsumersStudy[BA],1,,6522418e-56c7-6d1a-1ba0-1f4cdc0064e2,41868610,H,1338,,,,,165,anonymous,Value will be set from Panel or URL,on,
41,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65224215-afb8-16bf-14b3-cf260269014b,41868610,H,,,,,,41,anonymous,Value will be set from Panel or URL,on,
109,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6522410d-d22a-78bc-aa09-635989ec2044,41868610,H,,,,,,109,anonymous,Value will be set from Panel or URL,on,
14,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6522423c-2cca-0f60-589f-daf760a558c7,41868610,H,,,,,,14,anonymous,Value will be set from Panel or URL,on,
14,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,652241f5-d749-a17a-3d0b-dfa8ae913de0,41868610,H,,,,,,14,anonymous,Value will be set from Panel or URL,on,
23,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65224251-a774-ef4a-2424-0b7ab65033af,41868610,H,,,,,,23,anonymous,Value will be set from Panel or URL,on,
36,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6522423d-ccd3-f4ac-e162-f19d22270269,41868610,H,,,,,,36,anonymous,Value will be set from Panel or URL,on,
103,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,652241e6-49fe-80d7-7eaf-8427b66b4ccd,41868610,H,,,,,,103,anonymous,Value will be set from Panel or URL,on,
25,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6522427d-4c59-2d26-808b-bc9d2211cad1,41868610,H,,,,,,25,anonymous,Value will be set from Panel or URL,on,
24,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65224266-b2a9-5412-da5e-95bfe9082cfb,41868610,H,,,,,,24,anonymous,Value will be set from Panel or URL,on,
18,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6522427b-17e4-75d2-7291-777c6a0767ce,41868610,H,,,,,,18,anonymous,Value will be set from Panel or URL,on,
38,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65224280-fe29-6955-2121-3b35a2d2e562,41868610,H,,,,,,38,anonymous,Value will be set from Panel or URL,on,
14,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,652242c4-0f06-a7b5-9803-e75952d6be15,41868610,H,,,,,,14,anonymous,Value will be set from Panel or URL,on,
12,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,652242ca-0208-a367-b7e2-8efa70dad76d,41868610,H,,,,,,12,anonymous,Value will be set from Panel or URL,on,
371,37.168,-93.3039,7,,,,burgers,mac n cheese,idk,1,1,1,30,3,3,,4,6,none,8,3,4,4,4,3,2,2,2,1,2,1,2,10,186,250,"4,7,8,13",13,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,0Sce6gKiCq5plXwSx2E9me,29,,371,anonymous,Value will be set from Panel or URL,on,
20,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,652242c0-e407-61d4-ee5f-22fb94d9588e,41868610,H,,,,,,20,anonymous,Value will be set from Panel or URL,on,
11,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,652242f6-3c55-10b0-699e-f83a66fc607f,41868610,H,,,,,,11,anonymous,Value will be set from Panel or URL,on,
