duration,ResponseId,Q2,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q16,Q17,Q18_5,Q21
403,R_6X73ln2KllEr1LK,Ohio,4.5,1.5,2,0.8,0.3,Strongly agree,5,5,5,4,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,They are about the same.,They are about the same.,I don't know.,I don't know.,Locally grown is superior.,I don't know.,Locally grown is superior.,conservative,Alabama,,,,,,,Louisiana,,Mississippi,Missouri,,,,,55 - 64,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",150,Supermarket
613,R_5zNlfwLYCYiAsuV,Florida,3.5,1.25,1.5,0.7,0.25,Strongly agree,3,2,2,2,4,I don't know.,They are about the same.,I don't know.,They are about the same.,Locally grown is inferior,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,I don't know.,I don't know.,I have no idea,,Arkansas,,,,Kansas,Kentucky,,,Mississippi,,,,,,85 or older,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",126,Supermarket
426,R_3wsjOzJtTNKG1oT,Michigan,4.25,1.25,1.75,0.4,0.25,Strongly agree,4,4,3,3,5,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Aewsome Can't be beat,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,65 - 74,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$90,000 - $99,999",50,Supermarket
251,R_3fDD6SkbFdaEscd,Illinois,3,1.75,2.75,0.9,0.45,Somewhat agree,4,3,3,3,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,I don't know.,They are about the same.,They are about the same.,I don't know.,I don't know.,A source of African American pride  Blues music,Alabama,,,,,,,Louisiana,,Mississippi,,,,,,55 - 64,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",40,Supermarket
219,R_6LqJSSNfc4Yq6ad,New Jersey,3.5,1.25,1.75,0.7,0.25,Somewhat agree,4,5,3,3,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,I don't know.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,I don't know.,I don't know.,I do not know,,,,,,Kansas,,,,,,,,,,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",99,Supermarket
653,R_6ptZkaVwvFs0wvv,Georgia,3.75,2,2.5,1.2,0.35,Strongly agree,5,5,5,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is inferior,I don't know.,I don't know.,Locally grown is superior.,They are about the same.,I don't know.,Rich fertile ,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,Missouri,,,,,75 - 84,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",139,Supermarket
410,R_3CQtOe7s65ZUpXC,Florida,2.75,0.5,2.25,0.5,0.3,Somewhat agree,4,4,4,4,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,I don't know.,I don't know.,I don't know.,I don't know.,Fertile great,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",149,Farmers Market
324,R_6EAb9lUfMNbbbcp,Pennsylvania,4.25,1.25,1.75,0.7,0.25,Strongly agree,4,4,3,3,4,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,I don't know.,They are about the same.,Area near Mississippi River ,,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",125,Supermarket
380,R_3oOK0iqzKukKz7P,Georgia,4.25,1,1.75,0.7,0.25,Strongly agree,5,5,3,3,5,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Rural farmland,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",182,Supermarket
838,R_5KJcgwPJQogM2Pn,Georgia,3.25,1.75,2.5,0.9,0.3,Strongly disagree,5,5,4,4,4,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,Locally grown is superior.,I don't know.,I don't know.,I am not sure,Alabama,,,,,,,,,Mississippi,,,,Tennessee,,65 - 74,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",75,Supermarket
143,R_664P7wItzq2rw0J,Arizona,2.25,0,1.5,0.2,0.2,Strongly agree,3,3,2,2,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,They are about the same.,Humid,,,,,,,,Louisiana,,,,,,,,55 - 64,Female,,,,,,,,,,,,,,,some other race,"Yes, Mexican, Mexican American, Chicano","$50,000 - $59,999",139,Supermarket
322,R_5yorf7p2D5tII5b,Michigan,3.5,0.5,1,1.3,0.4,Somewhat agree,4,5,4,4,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Scarce region,,,,,,,Kentucky,,,Mississippi,,,,,,55 - 64,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",76,Farmers Market
710,R_3floHdRIIsjFr0F,California,2.25,0,3.5,0.4,0.45,Strongly disagree,5,5,5,5,5,Locally grown is inferior,I don't know.,I don't know.,Locally grown is superior.,Locally grown is inferior,Locally grown is inferior,They are about the same.,Locally grown is superior.,They are about the same.,I don't know.,I don't know.,Not sure,Alabama,,,Indiana,,,Kentucky,,,,,,,,,35 - 44,Female,,,,,,,,,,,,,,,some other race,"Yes, Mexican, Mexican American, Chicano","Less than $10,000",100,Specialty Food Store
122,R_1OTDsGBk68X84pg,Alabama,4.75,1.5,1.25,0.9,0.35,Strongly agree,3,5,5,5,5,They are about the same.,They are about the same.,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Fertile land,Alabama,,,,,,,,,,,,,,,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",112,Supermarket
199,R_585bQQstvvrFVjX,Pennsylvania,3,1,1.75,0.5,0.25,Somewhat agree,3,4,3,3,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,not much there and poverty,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,55 - 64,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",180,Supermarket
193,R_7IbhdBToTJaqBPf,Delaware,4.5,1.25,2,0.8,0.3,Strongly agree,4,5,2,4,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is inferior,Locally grown is superior.,I don't know.,middle of the country,,,,,,,,,,Mississippi,Missouri,,Oklahoma,,,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",195,Supermarket
275,R_1P2Oo3WeUwGh7yh,Connecticut,2.25,0,1.5,0,0.2,Strongly agree,5,5,4,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,I don't know.,Where the Mississippi River resides ,,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,45 - 54,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",150,Farmers Market
462,R_6EfZ6zXCTTZShhU,Alabama,3.25,1.25,2,0.6,0.4,Strongly agree,5,3,3,1,3,I don't know.,Locally grown is superior.,They are about the same.,Locally grown is inferior,Locally grown is superior.,I don't know.,I don't know.,Locally grown is superior.,They are about the same.,They are about the same.,Locally grown is inferior,Very useful,,,,,,,,Louisiana,,Mississippi,,,,,,45 - 54,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",160,Supermarket
411,R_7J30f51Qe1yrxBK,Massachusetts,4.25,1.25,2,0.7,0.25,Strongly disagree,4,4,3,3,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Southern,Alabama,,,,,,,Louisiana,Minnesota,,,,,,,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$90,000 - $99,999",150,Supermarket
307,R_5jeuohX82Ht6JiB,Vermont,4.25,1.5,2,0.9,0.35,Strongly agree,5,5,5,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,Locally grown is superior.,I don't know.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Hot and Humid,Alabama,,,,,,,Louisiana,,Mississippi,,,,,,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",100,Health/Natural Food Store
279,R_5vdkx89sCK0w4I1,Illinois,3.25,1.25,1.75,0.7,0.25,Strongly agree,5,4,5,4,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Lush,,Arkansas,Illinois,Indiana,Iowa,Kansas,,,,,Missouri,,Oklahoma,,Wisconsin,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",75,Supermarket
157,R_1aDo3Kn6EmIpYvO,California,2.75,1.5,1.75,0.2,0.3,Strongly agree,5,5,5,5,5,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,I'm not sure,,,,,,,,,,Mississippi,,,,,,35 - 44,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",148,Supermarket
143,R_6zwOqTdjvF6Mjuz,Arizona,4.5,1.75,2,1.1,0.4,Strongly agree,4,3,4,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Classic for Farming ,Alabama,Arkansas,,Indiana,,,Kentucky,Louisiana,,Mississippi,Missouri,Ohio,Oklahoma,Tennessee,,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",80,Supermarket
422,R_6WxsG2m7uFJgPLr,Maryland,3.5,2,2.25,1,0.4,Strongly agree,5,5,4,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Good old,,,,,,,,,,,,Ohio,,Tennessee,,45 - 54,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",127,Farmers Market
125,R_1poMg5ttPcjVS25,North Carolina,5.75,2.25,2.25,1.1,0.4,Strongly agree,4,4,5,4,5,Locally grown is inferior,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,They are about the same.,very good,,,,,,,,,,Mississippi,,,,,,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$90,000 - $99,999",128,Supermarket
1404,R_5S3m7bPWYQQ6HWV,Georgia,3,1.25,1.75,0.5,0.25,Strongly agree,5,5,3,3,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,They are about the same.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,I don't know.,great farmland ,,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,45 - 54,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",81,Supermarket
452,R_7s00Ro050ATpdvz,Illinois,3,1.5,2.25,1,0.35,Neither agree nor disagree,4,5,3,3,5,I don't know.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Wet,Alabama,,,,,,,Louisiana,,Mississippi,Missouri,,,,,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",47,Farmers Market
772,R_6KeaLZukqMIe5rI,Texas,3,1.25,1.75,0.5,0.25,Strongly agree,5,5,4,4,4,I don't know.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is inferior,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,deep south,,,,,,,,Louisiana,,Mississippi,,,,,,65 - 74,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",165,Supermarket
385,R_31p67eqEDKmOXdr,Illinois,4.25,1.25,1.75,0.7,0.25,Somewhat agree,3,4,3,3,4,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,it is fertile land good for growing,,,,,,,,Louisiana,,Mississippi,,,,,,75 - 84,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",60,Supermarket
208,R_1ROFuLLrmVOzrZ4,Iowa,2.25,0,1.75,0.4,0.2,Strongly agree,4,2,2,2,3,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,I have never heard of,,,,,,,,Louisiana,,Mississippi,,,,,,25 - 34,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$90,000 - $99,999",100,Supermarket
279,R_6n7xDQoqAifBFgH,Texas,4,0.75,1.5,0.1,0.05,Strongly agree,4,5,4,3,5,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,Locally grown is inferior,Contaminated ,Alabama,,,,,,,,,Mississippi,,,,,,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",60,Supermarket
107,R_5ytYmTe4WBRuc4p,Florida,4.75,1.5,2.25,1,0.35,Neither agree nor disagree,2,2,2,2,2,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Pretty good ,,,,,,,,,,Mississippi,,,,,,25 - 34,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",56,Farmers Market
231,R_7mOW32tKu7Eck26,Florida,4.25,1.25,1.75,0.7,0.25,Strongly agree,4,4,2,3,5,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is inferior,They are about the same.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,low country,Alabama,,,,,,,Louisiana,,Mississippi,,,,,,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",100,Supermarket
138,R_5DHkhiBlV8ytGrT,Alabama,4.75,1.75,2.25,1,0.3,Neither agree nor disagree,2,2,2,2,3,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,Locally grown is superior.,very wet,,Arkansas,,,,,,,,Mississippi,,,,Tennessee,,45 - 54,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",113,Supermarket
503,R_3zSk4F89r7X4wMv,South Carolina,4.25,1.25,1.75,0.7,0.25,Strongly agree,4,5,3,3,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is inferior,They are about the same.,They are about the same.,subject to flood,,Arkansas,Illinois,,,,,Louisiana,,,Missouri,,,Tennessee,,75 - 84,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",98,Supermarket
205,R_5zCM70UVhgtlfC0,Nevada,4.25,1.25,2,0.8,0.3,Somewhat agree,5,5,3,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,Locally grown is superior.,I don't know.,Locally grown is superior.,I don't know.,I don't know.,I don't know.,Locally grown is superior.,down south,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",130,Supermarket
372,R_6gwQFnuXJqqWQX7,Michigan,4.25,1.25,1.75,0.8,0.3,Strongly disagree,5,5,5,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,Locally grown is superior.,I don't know.,Locally grown is superior.,The area around the mississippi river that know for farms and flooding,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",28,Supermarket
726,R_1r7ZaCX4AxJRRXh,Illinois,3.25,1.25,1.5,0.5,0.25,Strongly agree,4,4,3,3,3,I don't know.,They are about the same.,I don't know.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,I don't know.,Locally grown is superior.,Locally grown is superior.,I don't know.,Don't know about  it ,,,,,,,,,,Mississippi,,,,,,55 - 64,Female,,,,,,,Filipino,,,,,,,,,"Yes, Mexican, Mexican American, Chicano","$70,000 - $79,999",61,Supermarket
320,R_1CIVXqv9WNnChAA,Idaho,2.25,0,1.5,0.6,0.25,Strongly agree,5,5,3,4,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,Rural ,,,,,,,,Louisiana,,Mississippi,,,,,,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$90,000 - $99,999",101,Supermarket
308,R_1JCoqUNaPTB3F13,Alabama,5.25,1.75,2.5,0.9,0.35,Strongly agree,5,5,5,5,5,Locally grown is inferior,Locally grown is inferior,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Rich soils thanks ,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,Missouri,,,,,55 - 64,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",52,Farmers Market
161,R_7DS3bYUqZOGRucF,Illinois,4.25,1.25,1.75,0.7,0.3,Strongly agree,3,4,2,2,3,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,I don't know.,Locally grown is inferior,I don't know.,Locally grown is superior.,Located in the south,Alabama,,,,,,,,,Mississippi,,,,,,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$90,000 - $99,999",38,Supermarket
177,R_3dQ6bBwf5vd2uKZ,Texas,3.25,1,1.75,0.6,0.25,Somewhat agree,4,4,3,3,4,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,not sure,,,,,,,,,,Mississippi,,,,,,18 - 24,Female,White,,,,,,,,,,,,,,,"Yes, Mexican, Mexican American, Chicano","$50,000 - $59,999",17,Supermarket
325,R_6Qz8nydam8SJpfZ,Michigan,3,0.5,1.75,1.1,0.5,Strongly agree,5,1,4,2,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,not sure,,,,,,,,Louisiana,,,,,,,,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",90,Supermarket
374,R_7hojYLtdRYWJp9S,Pennsylvania,2.25,0.25,0,0.2,0,Strongly agree,5,5,5,3,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,I don't know.,Locally grown is superior.,I don't know.,I don't know.,Locally grown is superior.,I don't know.,I don't know.,Fairly good,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,Missouri,,,Tennessee,,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",155,Farmers Market
445,R_5Hjq3L4FWAS7PQY,Alabama,2.75,1.25,2,1,0.5,Strongly agree,5,5,5,3,5,Locally grown is superior.,I don't know.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,I don't know.,I don't know.,They are about the same.,I don't know.,I don't know.,Never heard if it,,,,,,,,,,Mississippi,,,,,,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",116,Supermarket
322,R_5GOANgBzGhHdE0t,Florida,4.25,1.25,1.75,0.7,0.5,Somewhat agree,5,4,3,3,4,I don't know.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,I don't know.,I don't know.,They are about the same.,I don't know.,I don't know.,Mid West,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",129,Supermarket
454,R_59uc5Rx8cOn3sh5,Connecticut,3.25,1,1.75,0.7,0.25,Strongly agree,5,5,4,4,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Parts of Mississippi Arkansas and Louisiana along the Mississippi River ,,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,75 - 84,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",40,Supermarket
252,R_71nDpvBILGz5klV,Florida,3.5,1.25,2,0.7,0.25,Strongly agree,4,5,3,3,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,They are about the same.,I don't know.,I don't know.,Wet,,,,,,,,,,Mississippi,,,,,,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",142,Farmers Market
223,R_5AkhePUAXd5WRNL,California,4.25,1.25,1.75,0.7,0.25,Strongly agree,5,5,5,4,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,HAVE NEVER BEEN THERE SO REALLY DON'T KNOW,Alabama,,,,,,,Louisiana,,Mississippi,Missouri,,,,,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",100,Specialty Food Store
639,R_6pSBH1rn3ccWKLa,Alabama,4.25,1.25,1.75,0.8,0.25,Somewhat agree,5,4,5,4,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Sustainable,,,,,,,,,,Mississippi,,,,,,75 - 84,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",37,Supermarket
387,R_25oLkkEqg1gG8jT,New Jersey,3.5,1.25,1.75,0.7,0.25,Strongly agree,5,5,2,2,3,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,Locally grown is superior.,A floodplain that is rich in both agriculture and culture,,,,,,,,Louisiana,,,,,,,,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",123,Supermarket
148,R_6lCQLnpHWNDrEPf,Alabama,4.25,1.25,1.75,0.7,0.25,Strongly agree,4,5,3,2,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,Locally grown is inferior,Locally grown is superior.,Locally grown is superior.,River plain,,,,,,,,Louisiana,,Mississippi,,,,,,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",70,Supermarket
